Source_Name	V_hand
G331.490-00.113	-88.16
G331.542-00.304	-97.29
G331.550-00.073	-88.48
G331.625+00.527	-51.53
G331.638+00.501	-52.39
G331.708+00.583	-67.70
G331.709+00.602	-67.55
G331.796-00.098	-2.75
G331.884+00.061	-87.78
G332.000-00.152	-50.84
G332.094-00.421	-56.70
G332.151-00.447	-54.33
G332.187-00.050	-47.78
G332.204+00.620	-38.47
G332.225-00.535	-52.36
G332.240-00.043	-48.34
G332.277-00.072	-48.79
G332.278-00.546	-52.87
G332.294-00.094	-49.24
G332.317-00.558	-53.57
G332.347-00.433	-48.37
G332.412-00.498	-54.12
G332.469-00.131	-50.29
G332.469-00.523	-51.36
G332.524-00.628	-50.36
G332.604-00.168	-46.90
G332.645-00.608	-49.63
G332.656+00.209	-47.48
G332.678-00.615	-58.23
G332.716-00.675	-47.71
G332.740-00.620	-50.06
G332.769-00.585	-55.91
G332.817-00.701	-53.60
G332.826-00.549	-57.05
G332.835+00.738	-48.01
G332.944-00.685	-49.06
G332.959+00.775	-45.29
G332.963-00.678	-49.28
G332.986-00.492	-53.76
G333.000-00.437	-54.79
G333.012-00.468	-54.35
G333.016-00.752	-55.65
G333.052+00.030	-44.71
G333.072-00.400	-53.58
G333.130-00.563	-58.53
G333.131-00.432	-52.40
G333.163-00.098	-90.47
G333.171-00.431	-51.19
G333.182-00.396	-50.36
G333.185-00.092	-86.11
G333.199-00.355	-49.82
G333.234-00.062	-87.05
G333.292-00.424	-50.55
G333.295-00.352	-50.49
G333.313-00.370	-50.68
G333.314+00.105	-46.39
G333.388+00.031	-70.27
G333.449-00.183	-45.60
G333.466-00.165	-45.03
G333.471-00.483	-54.47
G333.480-00.225	-49.51
G333.498-00.115	-47.99
G333.505-00.102	-45.35
G333.518+00.056	-40.14
G333.522-00.270	-49.91
G333.536-00.246	-48.72
G333.642-00.108	-89.44
G333.658+00.059	-84.36
G333.677-00.437	-4.87
G333.759+00.363	-33.94
G334.043+00.350	-57.71
G334.198-00.202	-48.13
G334.699+00.019	-85.87
G335.061-00.426	-39.33
G335.212-00.070	-44.62
G335.221-00.345	-39.24
G335.234-00.318	-39.98
G335.284-00.134	-45.10
G335.391-00.290	-45.35
G335.427-00.239	-44.76
G335.461-00.235	-43.39
G335.591+00.184	-49.08
G335.693+00.202	-49.84
G335.709-00.347	-38.96
G335.790+00.174	-50.20
G336.019-00.813	-47.85
G336.354-00.037	-127.5
G336.367-00.004	-128.10
G336.411-00.255	-87.51
G336.441-00.259	-89.31
G336.496-00.260	-23.61
G336.632+00.079	-104.29
G336.755-00.220	-96.80
G336.823+00.027	-76.00
G336.915-00.023	-74.35
G336.957-00.224	-71.55
G336.981+00.445	-53.48
G336.983-00.005	-122.35
G336.983-00.183	-74.44
G337.004+00.323	-62.38
G337.132-00.378	-40.8
G337.151-00.061	-59.73
G337.158-00.394	-41.14
G337.174-00.059	-73.44
G337.192+00.010	-74.56
G337.205-00.069	-68.50
G337.258-00.101	-68.34
G337.287+00.009	-102.99
G337.370-00.398	-41.12
G337.406-00.402	-41.09
G337.439-00.399	-41.93
G337.633-00.079	-55.25
G337.671-00.192	-51.82
G337.714+00.086	-76.41
G337.764-00.338	-42.02
G337.845-00.376	-40.23
G337.865-00.275	-64.82
G337.918-00.455	-40.35
G337.966+00.141	-39.81
G337.971+00.089	-39.96
G338.024-00.207	0
G338.067+00.045	-67.31
G338.145+00.109	-37.83
G338.218-00.132	-113.84
G338.287+00.123	-34.89
G338.334+00.132	-35.65
G338.356+00.182	-27.98
G338.384+00.011	-38.87
G338.394-00.405	-37.96
G338.433+00.054	-32.98
G338.442-00.706	-45.24
G338.447-00.005	-114.41
G338.455-00.721	-44.79
G338.460+00.023	-42.30
G338.479+00.029	-41.50
G338.562+00.217	-35.77
G338.619+00.022	-23.38
G338.785+00.477	-63.84
G338.804+00.089	-34.00
G338.833+00.480	-63.08
G338.871+00.560	-66.52
G338.927+00.632	-62.45
G339.205-00.661	-42.00
G339.284+00.134	-72.28
G339.490+00.092	-110.5
G339.949-00.538	-93.92
G339.954+00.060	-124.41
G340.072+00.926	-73.45
G340.207-00.050	-120.89
G340.222-00.168	-51.34
G340.248-00.376	-50.64
G340.256-00.226	-46.3
G340.273-00.212	-46.38
G340.307-00.377	-51.13
G340.373-00.392	-43.97
G340.398-00.396	-46.28
G340.461-00.636	-40.53
G340.785-00.097	-101.43
G340.787-01.018	-27.11
G340.878-00.374	-44.50
G341.034-00.114	-43.22
G341.127-00.350	-41.20
G341.215-00.236	-44.11
G341.218-00.213	-43.74
G341.266-00.301	-43.75
G341.282-00.295	-45.47
G341.292+00.319	-78.17
G341.812+00.335	-41.82
G341.942-00.167	-41.95
G342.115+00.504	-25.45
G342.130+00.030	-129.36
G342.484+00.183	-41.73
G342.706+00.125	-40.91
G342.959-00.318	-39.59
G343.134-00.484	-35.30
G343.353-00.071	-120.35
G343.486-00.414	-28.71
G343.501-00.475	-33.94
