#Sourcename     n2hp_max    n2hp_num   hnc_max   hnc_num    hcop_max   hcop_num   hcn_max   hcn_num
G307.544-00.580    5.64854    5    6.11625    9    8.89576    23    11.2443    23
G307.560-00.587    27.0565    54    22.4466    58    21.1984    66    24.3176    55
G307.615-00.258    13.5637    45    15.9131    73    28.9781    98    39.9089    99
G307.755+00.354    9.54851    18    7.64251    11    11.7927    34    9.88651    17
G307.805-00.456    6.17321    5    4.98021    0    9.58793    29    5.97102    11
G308.056-00.397    22.6194    65    15.4968    63    35.3263    100    23.9418    90
G308.121-00.337    10.3733    38    9.53471    57    11.4781    57    8.22774    35
G308.400-00.175    5.45182    1    5.47152    2    4.72783    0    6.95661    4
G308.645+00.648    16.8163    29    10.5469    27    13.5916    53    19.5072    68
G308.653-00.506    5.84731    4    6.60963    12    13.9122    23    14.6615    22
G308.688+00.529    13.1315    38    13.1297    66    22.8259    91    23.7149    99
G308.693+00.529    13.9898    33    11.2445    56    21.3572    95    17.8002    90
G308.754+00.549    9.45986    16    7.48206    18    10.5124    68    16.529    75
G308.916+00.124    8.85259    18    14.5581    72    22.9606    93    27.4203    92
G309.154-00.349    11.8117    28    7.35663    20    11.2133    88    11.4013    77
G309.235-00.458    16.27    39    14.0029    61    25.1497    100    23.9822    100
G309.382-00.134    22.1781    51    16.9233    55    24.4399    71    20.4072    77
G309.422-00.622    30.2993    68    17.2565    70    24.5548    95    18.2678    97
G309.533-00.739    28.4724    72    16.5564    72    22.6798    96    20.8618    92
G309.890+00.397    8.11481    10    8.4916    25    14.9806    67    19.8345    69
G309.903+00.230    7.77917    9    6.98525    12    12.7877    83    7.29289    44
G309.910+00.326    32.5092    65    15.5678    65    18.8286    85    16.0403    94
G309.920+00.478    7.45537    11    11.8662    32    9.52769    37    13.5761    58
G309.968+00.298    7.39268    5    8.41253    31    9.70493    50    7.89957    33
G309.978+00.546    8.22181    14    6.80149    8    6.09401    3    7.8937    14
G310.014+00.390    20.852    77    17.0998    58    28.6161    95    17.1215    74
G310.077-00.230    4.18291    0    5.46322    2    9.50714    25    8.55021    7
G310.143+00.759    16.6292    38    26.6005    87    33.086    93    38.5384    96
G310.373-00.303    19.0948    44    12.6375    61    8.18797    35    16.2024    79
G310.880+00.005    20.1508    52    11.1155    33    10.3742    61    8.04044    32
G310.905-00.382    5.17147    1    6.81532    10    8.70561    20    11.0236    38
G311.044+00.687    16.164    46    14.2832    56    15.6045    78    12.2001    57
G311.178-00.071    5.93366    4    5.91727    11    5.05116    1    9.3084    24
G311.481+00.361    6.25681    4    7.66598    20    12.266    49    10.446    19
G311.491+00.402    9.59126    19    8.16897    26    7.35383    30    9.23718    37
G311.511-00.455    20.4348    56    12.0634    49    16.3062    59    14.5171    67
G311.556+00.331    14.6756    57    10.5773    58    9.61762    27    6.22479    23
G311.627+00.265    19.1658    43    11.4049    35    10.4803    41    7.78521    14
G311.627+00.290    2.84492    0    2.20071    0    4.3826    0    5.43508    1
G311.642-00.379    2.66926    0    3.87571    0    11.0059    32    7.66855    18
G311.899+00.083    4.98092    0    6.44471    19    7.60156    16    8.66414    36
G311.924+00.222    6.90652    13    7.10121    22    8.11969    62    9.48359    62
G311.947+00.141    19.7691    45    11.9356    48    12.6381    53    10.0633    39
G312.070+00.081    14.5485    57    10.84    53    6.32924    6    5.00854    1
G312.093+00.073    15.8334    29    6.97019    28    6.05173    2    5.95643    4
G312.108+00.308    26.0854    99    13.5919    98    8.77223    72    10.001    44
G312.410-01.050    24.9344    38    14.3371    58    9.63552    20    18.6065    55
G312.596+00.045    12.7456    37    9.493    22    16.7489    52    11.2178    55
G313.458+00.191    10.8531    37    13.5144    48    20.9306    71    25.246    68
G313.576+00.325    8.92389    12    8.93917    13    5.79074    3    11.967    22
G313.706-00.191    5.32846    3    7.05847    30    5.20709    2    7.65699    13
G313.766-00.864    44.1213    87    30.2535    74    59.7351    98    37.8005    94
G314.219+00.272    51.8048    89    39.0722    94    61.1887    100    42.9933    100
G314.264+00.091    17.2853    82    13.997    87    13.0786    67    12.1707    83
G314.319+00.111    20.714    73    9.62055    50    9.69468    67    7.36257    12
G316.085-00.674    10.4445    17    6.98452    6    13.7687    60    8.18407    13
G316.140-00.504    21.1403    54    16.5826    72    17.6064    73    22.9017    80
G316.360-00.363    8.21861    12    12.3916    24    10.4873    18    20.8657    47
G316.412-00.308    3.17142    0    3.83989    0    5.0338    1    6.28311    4
G316.447-00.656    6.98853    12    7.19987    20    6.39008    24    7.09309    20
G316.586-00.811    12.5406    27    13.0592    23    23.0846    63    15.8167    55
G316.640-00.088    6.40421    4    4.25523    0    8.01633    13    7.10815    17
G316.717+00.073    8.11167    27    10.502    65    12.0578    83    10.0213    48
G316.769-00.025    59.5078    100    47.8263    100    44.2947    100    33.0568    100
G316.779-00.098    10.1308    43    14.3176    88    22.2542    100    21.8556    100
G316.798-00.058    50.1591    87    34.9561    99    33.9527    99    27.5878    100
G316.959+00.302    16.6936    35    17.2608    63    28.6258    76    27.8483    85
G317.408+00.110    24.6614    53    14.0766    53    11.2382    71    11.2803    46
G317.428-00.562    5.608    2    7.60949    14    14.4281    32    14.9385    29
G317.465-00.404    6.25871    5    5.30088    2    8.56351    34    7.14893    25
G317.701+00.110    25.4265    97    12.2277    59    11.5993    73    7.56543    18
G317.868-00.152    30.3367    53    20.0582    76    28.2813    99    18.7899    97
G317.888-00.060    5.40948    1    5.53518    4    10.7062    32    12.969    28
G317.888-00.252    27.3228    60    24.8953    100    41.2158    100    26.5568    98
G318.050+00.087    20.0661    52    25.355    78    44.6097    100    49.2257    100
G318.725-00.224    3.20315    0    3.78175    0    5.63822    1    3.45994    0
G318.777-00.154    15.1295    74    11.46    55    15.7442    86    12.435    76
G318.779-00.139    21.5623    84    14.3119    89    16.0437    98    11.6563    89
G318.916-00.164    5.40193    1    18.8068    50    24.4952    44    19.9745    65
G318.948-00.196    42.3386    80    36.8263    86    42.3796    98    36.8368    93
G319.162-00.422    22.795    33    15.0428    39    13.0658    45    14.0856    49
G319.398-00.012    2.96006    0    10.3657    27    18.016    57    15.0331    68
G319.872+00.788    14.783    35    12.8281    61    13.7347    70    15.1398    73
G319.901+00.792    7.02185    9    5.81545    3    7.35767    24    9.23989    53
G320.126-00.507    4.96678    0    4.30847    0    11.0676    50    12.8496    35
G320.162+00.910    8.25131    26    6.18209    16    7.88673    48    7.39119    35
G320.169+00.824    38.8074    96    18.4487    89    28.3591    100    33.8458    100
G320.201+00.858    12.4194    33    7.93232    42    12.8004    96    13.8945    97
G320.244-00.294    25.7877    40    18.771    48    26.4812    78    32.3353    96
G320.244-00.561    9.02408    24    5.45103    2    3.76875    0    4.44359    0
G320.247+00.403    35.9482    62    10.9851    57    18.8865    80    16.7914    84
G320.285-00.309    22.7041    53    12.6107    49    16.117    100    25.2467    100
G320.319-00.176    15.6738    33    10.4713    38    11.7877    80    14.8078    86
G320.331-00.307    4.81897    0    5.52272    2    9.87428    68    9.81643    42
G320.339-00.163    10.8092    50    11.3687    91    14.0246    100    11.7036    94
G320.348-00.223    8.86197    21    8.8407    28    9.10062    54    11.3706    51
G320.382+00.178    10.1882    24    8.66292    51    11.8968    96    13.1057    97
G320.423+00.089    15.038    42    14.97    54    21.958    75    14.7131    65
G320.428+00.101    14.065    49    12.0975    55    18.841    65    13.9754    66
G320.594-00.195    11.088    11    9.67039    16    8.39256    15    10.8879    27
G320.676+00.242    13.729    29    6.59884    12    8.99304    44    8.78041    60
G320.780+00.244    6.81711    6    8.30209    14    12.9961    66    14.83    76
G320.881-00.397    17.0237    25    9.23718    27    14.2996    37    13.33    62
G320.891-00.412    30.3487    66    15.1319    64    23.7818    76    22.8174    90
G321.030-00.483    12.3307    26    11.198    30    19.5646    70    17.9712    61
G321.054-00.508    5.29103    1    4.99758    0    7.80929    24    10.9304    65
G321.148-00.530    4.22583    0    4.98964    0    11.5353    63    12.7023    63
G321.380-00.300    21.383    52    14.0715    53    21.7762    91    24.7852    92
G321.756+00.029    14.2622    45    9.96588    38    14.0978    78    12.6667    63
G321.904-00.015    8.49145    34    7.19016    30    12.3138    100    11.9606    100
G321.935-00.007    26.4565    71    12.3732    54    24.6389    98    27.5099    95
G322.520+00.637    23.6711    60    21.3796    73    29.4567    93    23.4946    75
G330.027+01.041    23.8409    80    14.9116    92    18.3509    91    13.2288    82
G330.295-00.396    10.7788    26    24.8073    72    46.0351    85    52.603    95
G330.673-00.375    14.3197    43    9.53804    26    10.6895    80    11.2923    92
G330.677-00.403    12.3186    36    6.84477    21    10.0269    65    7.66881    26
G330.986+00.329    7.34068    7    6.32791    7    16.4371    41    5.52271    1
G331.035-00.418    28.611    100    24.5403    100    40.4918    100    26.6106    100
G331.133+00.157    10.4915    36    8.2166    19    6.30316    1    7.4594    28
G331.133-00.525    15.9314    67    19.4839    84    27.9906    100    37.0896    100
G331.134-00.484    35.1357    99    21.0691    100    34.7997    100    26.2363    100
G331.161-00.463    24.4034    93    18.1882    97    29.6132    100    24.6452    100
G331.186-00.462    15.585    53    14.7466    80    23.1846    98    21.7016    100
G331.206-00.277    5.31965    2    5.79447    10    3.79595    0    5.41908    2
G331.220+00.013    3.4743    0    4.0138    0    4.04229    0    3.07537    0
G331.273-00.375    9.68007    32    9.74807    51    15.0083    90    10.6452    89
G331.282-00.189    16.6171    68    12.4864    54    14.3436    90    11.7084    39
G331.324+00.096    4.63316    0    3.46011    0    5.6785    1    4.08075    0
G331.331+00.181    6.6165    5    4.53307    0    3.25192    0    3.92745    0
G331.352-00.019    4.18939    0    5.40048    3    10.9448    78    13.3758    69
G331.370-00.116    11.7685    39    9.0913    29    8.43864    59    5.21796    4
G331.374-00.314    9.63811    33    8.68378    31    12.5878    61    8.99065    37
G331.377+00.150    16.8553    63    7.93086    20    5.73949    3    5.68937    3
G331.421-00.357    11.5087    50    8.70736    23    10.9025    64    11.4436    47
G331.490-00.113    14.0156    50    9.28034    22    9.93676    32    6.23259    6
G331.542-00.304    9.21266    20    5.70726    1    8.08181    46    5.5414    1
G331.550-00.073    47.4404    100    28.9901    100    24.1408    100    19.8238    100
G331.625+00.527    15.5932    52    7.71326    18    11.3675    65    6.13459    15
G331.638+00.501    10.9889    51    8.86441    39    9.70397    56    6.82207    24
G331.708+00.583    34.9471    95    25.3243    97    31.0412    100    22.5673    94
G331.709+00.602    42.6348    95    22.604    90    23.5725    98    19.9816    99
G331.796-00.098    4.38269    0    4.05446    0    14.2827    35    6.94279    9
G331.884+00.061    19.6563    83    13.3759    84    9.13004    58    10.1017    41
G332.000-00.152    4.19834    0    6.64027    20    6.57838    31    4.8684    0
G332.094-00.421    39.3499    70    15.0785    76    7.98495    43    18.4081    100
G332.151-00.447    23.7917    66    20.4076    97    16.1422    93    35.2555    100
G332.187-00.050    6.2176    4    6.33199    3    7.35652    15    5.20388    2
G332.204+00.620    7.3611    6    6.73785    5    12.1745    35    7.51223    23
G332.225-00.535    15.8141    27    11.65    40    22.7274    90    15.2837    84
G332.240-00.043    33.6614    89    20.5349    82    23.6963    96    17.6261    86
G332.277-00.072    17.896    81    13.0688    86    14.6182    99    13.4182    91
G332.278-00.546    17.4762    43    17.2035    65    25.0302    85    19.7554    90
G332.294-00.094    32.3225    99    19.3142    99    8.83211    25    20.8905    96
G332.317-00.558    13.4803    52    9.73904    53    21.3612    100    19.9956    99
G332.347-00.433    14.4453    52    11.8072    83    19.1444    95    8.79082    53
G332.412-00.498    9.12838    21    6.30519    9    12.2181    71    8.43575    47
G332.469-00.131    15.7524    29    10.2279    94    15.8375    100    15.3269    100
G332.469-00.523    33.33    74    24.7958    84    31.7853    97    21.6827    98
G332.524-00.628    5.3108    3    7.53517    13    10.8533    60    7.26642    36
G332.604-00.168    19.9126    54    14.6582    68    19.4172    96    11.111    85
G332.645-00.608    33.9253    99    24.3392    100    31.3482    100    31.5539    100
G332.656+00.209    6.2587    4    7.2887    15    6.86472    9    5.37554    1
G332.678-00.615    23.5947    52    15.9986    84    17.18    100    13.3111    99
G332.716-00.675    6.98868    7    8.19638    49    7.22466    12    12.4546    75
G332.740-00.620    15.8505    49    10.8649    73    18.4629    100    17.9865    100
G332.769-00.585    20.3837    58    18.6135    98    34.0933    100    31.8536    100
G332.817-00.701    13.9037    35    15.4644    56    25.4211    84    26.8132    100
G332.826-00.549    49.6836    100    54.6558    100    50.5575    100    34.0369    100
G332.835+00.738    7.37077    9    7.59296    12    6.30958    4    4.81761    0
G332.944-00.685    14.1986    33    8.98505    25    14.5293    63    11.8572    45
G332.959+00.775    15.3163    52    17.9345    97    23.2998    100    23.1167    99
G332.963-00.678    26.0006    73    16.5995    95    17.4805    89    13.1138    94
G332.986-00.492    51.9524    100    45.1277    100    55.2633    100    51.9937    100
G333.000-00.437    13.3644    31    15.0496    100    26.7188    100    30.7469    100
G333.012-00.468    28.8919    79    27.3209    100    44.839    100    55.7199    100
G333.016-00.752    8.19796    28    9.53546    48    16.1919    98    11.0641    97
G333.052+00.030    11.6277    26    13.1595    51    14.9995    63    20.3378    79
G333.072-00.400    36.9263    98    26.8397    100    44.1203    100    27.6163    100
G333.130-00.563    25.1036    89    18.7554    100    21.2757    100    10.8091    95
G333.131-00.432    26.3962    91    33.1692    90    49.698    100    33.8182    94
G333.163-00.098    9.40368    34    6.37112    16    3.99947    0    5.90206    4
G333.171-00.431    35.5619    94    26.676    100    30.5513    100    18.8073    100
G333.182-00.396    27.7938    58    16.9604    100    19.2087    100    17.6418    100
G333.185-00.092    9.72056    16    5.76025    3    4.68511    0    6.63886    9
G333.199-00.355    11.1716    21    10.405    71    15.2156    100    11.0141    83
G333.234-00.062    35.0982    70    6.50624    15    3.1389    0    4.76563    0
G333.292-00.424    18.8964    79    17.7606    100    30.8694    100    26.8058    100
G333.295-00.352    58.6189    100    47.7872    100    58.7928    100    37.0583    100
G333.313-00.370    35.9777    100    27.4771    100    38.1566    100    23.0371    100
G333.314+00.105    34.7687    66    21.9374    68    24.1864    85    24.7035    79
G333.388+00.031    13.0476    26    9.5541    18    10.4027    31    9.32717    26
G333.449-00.183    19.8152    70    12.8029    82    13.6564    100    9.49238    74
G333.466-00.165    17.9859    69    8.85531    45    7.74031    32    7.0069    20
G333.471-00.483    11.6302    72    9.08194    56    18.7185    100    12.0572    99
G333.480-00.225    18.3707    79    11.243    85    22.3758    100    15.5248    96
G333.498-00.115    5.97216    1    5.58192    1    7.47167    12    5.02503    1
G333.505-00.102    8.00415    29    10.0412    77    10.4689    67    8.16431    83
G333.518+00.056    8.81767    13    5.42317    1    3.37158    0    3.76008    0
G333.522-00.270    35.5216    91    19.4214    93    20.5861    92    19.5376    98
G333.536-00.246    10.0701    48    9.75739    62    10.1633    66    9.60131    84
